phrase,target
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares ,neutral
 the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share ,neutral
847,neutral
2007,neutral
 which produces nonwovens used in medical and wipes applications as well as for the automotive industry ,neutral
 the company said ,neutral
 renovation work of residential and non-residential building as well as premises for industrial and logistical use ,neutral
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board ,neutral
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees ,neutral
Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % ,neutral
 while food manufacturers are still relatively small ,neutral
Tekla Group 's net sales for 2006 were approximately 50 million euros and operating result 13.6 million euros ,neutral
The new B shares carry the right to dividend and other shareholder rights with effect from today ,neutral
 North America and Asia ,neutral
 and FttH ,neutral
This release is not an offer of securities for sale into the United States or elsewhere ,neutral
Pertti Ervi is independent from the Company and its major shareholders ,neutral
 Stora Enso holding in NewPage will remain unchanged ,neutral
 27.70 m breadth and 6.55 m design draught ,neutral
 supply of special equipment and services for a calcination plant with two circulating fluid bed calciners ,neutral
 which includes American Airlines and British Airways ,neutral
Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance excluding expenses for investment management and expenses for other services rendered Non-life Insurance investment portfolio by allocatio,neutral
 specialising in commercial properties in the largest cities in Finland and Russia ,neutral
Lemmink+ï¿½inen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s ,neutral
 application maintenance and training ,neutral
 near Mumbai ,neutral
 research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver ,neutral
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January ,neutral
The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume ,neutral
 Mid Cap and Small Cap ,neutral
`` Marimekko operates in an industry in which changes in the business climate are reflected in consumer demand ,neutral
2009,neutral
 the majority of the committees ' members shall be independent of the Company ,neutral
The machinery now ordered will be placed in a new mill with an annual production capacity of 40 000 m3 of overlaid birch plywood ,neutral
 access code : 2659 5401 ,neutral
2010,neutral
 in northern Sweden ,neutral
Yvonne Jones is owner of Chameleon Interiors ,neutral
 Director of Technopolis operations in Jyvaskyla ,neutral
Affecto has participated in the program for the development of the Norwegian pension system since 2007 ,neutral
 the Auditors ' Report and the Corporate Governance Statement ,neutral
 net profit was EUR 3 million and the company paid a dividend of EUR 1.30 apiece ,neutral
 at the latest ,neutral
N-Viro operates processing facilities independently as well as in partnership with municipalities ,neutral
 the Board decided to appoint a Nomination Committee at a later stage ,neutral
The deal will have no significant effect on the acquiring company 's equity ratio ,neutral
 opinions or distributions ,neutral
 the company said ,neutral
Two other sites will be included later on ,neutral
The order was worth EUR 8mn ,neutral
 Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings ,neutral
000 customers in over 100 countries ,neutral
The purchase price was not disclosed ,neutral
 for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders ,neutral
The combined value of the orders is almost EUR 3mn ,neutral
 and meat products ,neutral
 company said in a statement received by Lesprom Network ,neutral
Atria said its offer would give the Swedish company continued ownership and control of its slaughtering and cutting operations ,neutral
The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com ,neutral
at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9 ,neutral
The writing and publication of Lemmink+ï¿½inen -ï¿½ s history is a continuation of earlier collaboration between Antti Tuuri and the company ,neutral
Also the development of online businesses will continue ,neutral
The contract value amounts to EUR 2.4 million ,neutral
The sales price was not disclosed ,neutral
An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 ,neutral
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress ,neutral
 approvals of their decision-making bodies and approval by the Finnish Competition Authority ,neutral
 Healthcare & Welfare since August 2007 ,neutral
 was announced in October ,neutral
 beef consumption totaled 99mn kilos in Finland in 2007 ,neutral
 Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn ,neutral
 the brewer said ,neutral
No planned closing date was provided ,neutral
Rental of building equipment accounted for 88 percent of the operating income ,neutral
 Sweden and Turkey ,neutral
470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan ,neutral
 and operating profit was EUR 3.9 million ,neutral
Decisions are to be made as quickly as possible ,neutral
The first group of customers to be trained will be paint-shop owners and their assistants ,neutral
The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 ,neutral
 where the present management of the plastics business is a co-owner ,neutral
 which is a Southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities ,neutral
The agreement includes application maintenance and support services ,neutral
The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News ,neutral
The report will be emailed within 2 business days of an order ,neutral
The bank VTB24 provides mortgage loans to buy apartments in the complex at 11-13 % per annum in rubles ,neutral
 AVC Systemhaus had net sales of EUR 10 million USD 7.1 m ,neutral
 as well as by iterating the places of the peeling axes and simulating the peeling process ,neutral
About Dopplr Dopplr is a service for smart travellers ,neutral
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland ,neutral
The idea of saving electricity in data transfer is still a new one ,neutral
 Manty has worked since 1996 ,neutral
`` They want my credit card info and my personal details ,neutral
 and deliveries ,neutral
800 sq m. A total 25.1 % of the facilities have been let ,neutral
 says the Group 's structural reorganisation will continue for at least a year ,neutral
The value of the orders is over EUR 10mn ,neutral
2007,neutral
 real property and mortgage loans ,neutral
 followed by the state with 19.9 % ,neutral
 Estonia and India ,neutral
The order is included in Metso 's fourth quarter 2007 order backlog ,neutral
 the emphasis of Kyro 's strategy has been on Glaston 's growth ,neutral
The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 ,neutral
The turbines are expected to be launched by the end of 2012 ,neutral
 Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights ,neutral
 Bao Yiliang and Karczewicz Marta ,neutral
 China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region ,neutral
The value of the order is EUR 2.5 mn ,neutral
Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million ,neutral
 Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/200,neutral
Negotiations with representatives of the personnel regarding the restructuring process have now been ended ,neutral
 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx ,neutral
Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology ,neutral
 the company said ,neutral
All depends on financing ,neutral
 Profile Vehicles Oy and Voimatel Oy ,neutral
 a ski-equipment company ,neutral
Work on the assignment has already started and is due for completion in spring 2011 ,neutral
 Kuula says ,neutral
The transaction value is CAD 15 million approximately EUR 10 million ,neutral
The expanded plant is scheduled to be operational by the middle of October 2009 ,neutral
The solid fuel is heated before sludge is mixed therein . ',neutral
Mursula said they tried to gather macro-economic perspective to see how Malaysia was doing ,neutral
Its 168 asset management experts manage assets worth over EUR 35 billion ,neutral
The estimated value of the deal is USD 9.2 million ,neutral
The phones are targeted at first time users in growth markets ,neutral
`` Serving customers locally is one of the cornerstones of customer focus for us ,neutral
The issuer is solely responsible for the content of this announcement ,neutral
500 persons ,neutral
 Ruukki Construction ,neutral
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand ,neutral
The company then said it will focus its resources on clinical research ,neutral
 support and planning for Tecnotree and third-party applications ,neutral
000 Series K shares ,neutral
 and the Hartford Wolf Pack hockey team ,neutral
 have taken effect ,neutral
The business area 's net sales were slightly over 2m in 2006 ,neutral
The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations ,neutral
The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China ,neutral
 Kemira Specialty and Kemira Coatings ,neutral
The project also implies an underground parking lot for 56 vehicles ,neutral
 Etteplan Operations ,neutral
Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations ,neutral
Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index ,neutral
Panostaja did not disclose the purchase price ,neutral
 such as hedging trades and risk management and reporting ,neutral
 Panostaja offers a full cash consideration at the value of 1.27 euro $ 1.7 per share ,neutral
 Saha Pathana Inter-Holding Plc. ,neutral
 will start on the exchange in Helsinki tomorrow ,neutral
 while sales take place in rubles ,neutral
 Finland ,neutral
 to other UPM mills ,neutral
The value of the orders is about EUR 70mn ,neutral
 effective 1 September ,neutral
The contract is for next year ,neutral
 1 cent for research and development and 1 cent for strategic investments ,neutral
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 ,neutral
Talvivaara Mining Company Plc Talvivaara Mining Company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore ,neutral
 the company will exit the contract manufacturing service segment ,neutral
 and the remaining sum in 2012 ,neutral
 and the fish comes from Canada and Finland ,neutral
Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 ,neutral
ZAO YIT Moskovia builds housing in Moscow and its surrounding cities ,neutral
 as well as products used in environmental protection ,neutral
The transaction is expected to be completed next spring ,neutral
 with network servers that may assist the hosting mobile terminal ,neutral
Castecka said the town hall would hold talks with other investors interested in the zone ,neutral
 beginning in October 2009 ,neutral
 with the total cost of the project estimated at 140 million euros ,neutral
The value of this kind of order amounts usually between Euro 2 and 3 million ,neutral
In the meantime the CEO 's duties will be assumed by Outotec 's Deputy CEO Seppo Rantakari ,neutral
Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 ,neutral
The contract includes heating plant equipment and associated installation work ,neutral
 the number of joint branch offices will total 170 ,neutral
The value of the contract is in total USD12m ,neutral
 '' Artemyev said ,neutral
 technical and regulatory challenges operators are facing in their OSS today ,neutral
The platform would continue to be the development framework for Symbian and MeeGo ,neutral
 51 % in telecom equipment producer Peter-Servis and a number of other minor assets ,neutral
 controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. ,neutral
Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg ,neutral
The Company turnover amounted to MEUR 27.9 in 2007 ,neutral
000 employees ,neutral
500 for the other Board members ,neutral
 Rosberg said ,neutral
 except that it involves the merger of their stakes in VimpelCom and Kyivstar ,neutral
The purchase sum is about EUR 10mn US$ 12.97 mn ,neutral
 owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates ,neutral
 a holding company wholly owned by HKScan Corporation ,neutral
523 shares ,neutral
0,neutral
 forest industry and infrastructure & environment sectors ,neutral
 '' Nokia India vice-president & managing director D Shivakumar told reporters ,neutral
 power generator and hoists to customers in the construction sector ,neutral
 calculates RVR values and provides the data to users via various interfaces ,neutral
 anglers and others who flock to his frequent seminars - is nearly over ,neutral
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 ,neutral
 and the number of annual transactions stands at nearly one million ,neutral
 and formwork with a limited number of concrete pourings ,neutral
 representing 0.008 % of share capital and voting rights ,neutral
Russia 's Video International Group holds a controlling stake in Russian Media Ventures ,neutral
The parties have therefore agreed to leave Avena out of the deal ,neutral
 with an annual turnover of NOK16 .4 bn ,neutral
`` These developments partly reflect the government 's higher activity in the field of dividend policy . ',neutral
 Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions ,neutral
 die finale Version zu beeinflussen ,neutral
 bargain-priced games such as Rapala aim for a smaller audience ,neutral
 invested in commercial properties in the Helsinki metropolitan area ,neutral
000 units ,neutral
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas ,neutral
 the report by the Board of Directors and the auditor 's report ,neutral
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws ,neutral
Each share is entitled to one vote ,neutral
The original patent was filed in Finland under application No. ,neutral
Most of the dividend will go to the Grimaldi family ,neutral
 within one week ,neutral
 the +ï¿½+ï¿½nekoski paper mill remained in M-real 's ownership and continued Galerie Art production for Sappi under a long-term contract ,neutral
The company has 120 employees and annual sales of approximately EUR16m ,neutral
 and other processing plants ,neutral
 a six-year historic analysis is provided for this market ,neutral
 Russia and Norway ,neutral
 Finland ,neutral
The value of the orders is about EUR 25mn ,neutral
Completion of the transaction is subject to a final agreement and a Due Diligence process ,neutral
2010,neutral
 northern Belgium ,neutral
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 ,neutral
`` Directors and shareholders alike should ask why these practices were allowed to continue . ',neutral
The price will be specified at the completion date ,neutral
 is a manufacturer of high quality safety glass products operating in Finland ,neutral
167 m2 ,neutral
 will begin at 3:00 p.m. Finnish time ( EET ) ,neutral
000 people ,neutral
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 ,neutral
 Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 ,neutral
 to operators and service providers ,neutral
In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. ,neutral
 sold a 43pc stake in the company for more than pounds 900m at the time of the float ,neutral
Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks ,neutral
The negotiations will concern the plant 's department producing winded roving that employs 10 people ,neutral
 Finland ,neutral
The agreement includes the entire process of managing Mercator 's supply chain in all regions where the company is currently present ,neutral
The shops are located in the capital region and the Paijat-Hame region ,neutral
All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 ,neutral
The value of the deal has not been disclosed ,neutral
 and Phoenix ,neutral
It is expected to be online by 2011 ,neutral
 profit amounted to EUR 20mn ,neutral
 the company said ,neutral
Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services ,neutral
 Sanoma Magazines expects net sales to be at the 2009 level ,neutral
 such as the Wonderware System Platform ,neutral
Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year ,neutral
 after-treatment services and send out services ,neutral
The sellers were EOSS Innovationsmanagement and a group of private individuals ,neutral
 South Korea and Liechtenstein ,neutral
He will report to CapMan Plc 's CEO Heikki Westerlund ,neutral
The original contract was signed last summer ,neutral
The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release ,neutral
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed ,neutral
No financial details of the deployment were disclosed ,neutral
000 sq m of logistics premises and the gatehouse building in November 2008 ,neutral
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process ,neutral
2007,neutral
400 tonnes of folding boxboard per day ,neutral
 ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation ,neutral
Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. ,neutral
He wore a black beanie-type cap and a black jacket ,neutral
 the band and the seal . ',neutral
 and Non-Life Insurance ,neutral
 in particular ,neutral
The divested stake represented about 2.7 m shares in Okmetic 's capital ,neutral
 the Baltic countries and Russia ,neutral
The deal means that ten persons in three countries will transfer to Tieto ,neutral
 how much energy various products contain and what is the nutritional content of all purchases ,neutral
 Poland and Romania by the end of the first quarter of 2009 ,neutral
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result ,neutral
 the company added ,neutral
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform ,neutral
The company is listed on the Nordic Exchange in Helsinki ,neutral
0,neutral
 Manufacturing & Retail ,neutral
0,neutral
 let to around 140 tenants of which two of the largest are the Swedish government and Ericsson ,neutral
COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively ,neutral
 Grain Trading and Other business operations ,neutral
 road and housing construction ( project Swedish Krona ) ,neutral
It was decided that the auditors are reimbursed according to invoice ,neutral
 whereas the energy industry accounted for 28 percent and other industries for 8 percent ,neutral
 manufacture and marketing of standard products for production automation ,neutral
 according to Korea-based ATLAS Research Group ,neutral
 at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com ,neutral
 and supported by its Nokia NetAct network and service management system ,neutral
 the company added ,neutral
The output of the contracts totals 72 MWe ,neutral
It has80 branches in Finland with annual revenue in Finland of ,neutral
 Sabharwal Ashutosh and Aazhang Behnaam ,neutral
No other ev3 devices were involved in this action ,neutral
Rubin says he expects Capman to announce 1-2 additional transactions in 2009 ,neutral
 which partly derives from the deal in which the company was merged into a stock market shell ,neutral
The acquisition price was not disclosed ,neutral
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 ,neutral
 designed to be able to pass through the narrow passages in the Panama Canal 's locks ,neutral
 Start ski waxes and now also Peltonen cross-country skis ,neutral
Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services ,neutral
 5 year fixed rate deal in Euros ,neutral
Bluewin Security is available as a monthly subscription ,neutral
 or to subscribe to the newspaper ,neutral
 a restaurant and a multifunctional ice arena ,neutral
Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division ,neutral
 and Dutch ING ( AMS : INGA ) as co-arranger ,neutral
- Counter your competitor 's strengths and target their weaknesses ,neutral
000 tons of light coated paper ,neutral
000 euro $ 1.0 mln in 2005 ,neutral
The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds ,neutral
Delivery is expected to take place later this month ,neutral
The ECB can mainly target inflation ,neutral
 the paper added ,neutral
From Merisatama to the far corners of the world Asfaltti Osakeyhti+ï¿½ Lemmink+ï¿½inen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor ,neutral
 designs high-performance antennas for portable wireless devices ,neutral
Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 ,neutral
2007,neutral
 Sachs & Co. ,neutral
Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. ,neutral
 1-9/2007 and profit before taxes was EUR 1.2 1.4 million ,neutral
`` Our Vaalipalvelu-service was especially developed for use by communities and organizations ,neutral
The repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the Convertible Bonds ,neutral
The total investment in 2006 and 2007 is expected to amount to about EUR75m ,neutral
The issuer is solely responsible for the content of this announcement ,neutral
The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 ,neutral
The total value of the contract is some EUR 8 million ,neutral
The passenger tunnel is expected to be put into operation in 2009 ,neutral
 marketing and controlling functions for these units ,neutral
To see a slide show of all the newest product releases from Fiskars ,neutral
The studies are expected to start in 2008 ,neutral
 reaching the Vostochny port ,neutral
The agreement must be approved by the Russian competition authorities before it enters into force ,neutral
The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company ,neutral
2009,neutral
Currency conversions are based on exchange rates at the time of the deal ,neutral
 Finland ,neutral
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas ,neutral
The total investment of the project will be approximately EUR 36m ,neutral
Capital base and capital adequacy measurement is based on approaches under Basel II ,neutral
The EA Reng group posted sales of approximately 84 million kroons for 2007 ,neutral
It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland ,neutral
2007,neutral
 the transmission power level can be decreased when the interference noise is above a predefined value ,neutral
023 own shares ,neutral
Stora Enso will receive a 19.9 pct equity interest in the combined company ,neutral
 which will be organized in two different streams for treating ore in the Pilanesberg platinum mine ,neutral
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes ,neutral
 spoke to them and took a letter from them ,neutral
The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people ,neutral
Earnings per share EPS amounted to EUR0 .01 ,neutral
Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 ,neutral
000 persons ,neutral
 as well as its holdings in subsidiaries and associate companies in the country to HKScan Finland ,neutral
 a subsidiary established in the U.S. last year ,neutral
 the Finnish construction firm said on Friday ,neutral
 including voice-directed operations ,neutral
The trade is in accordance with the agreement announced on 26 March 2008 ,neutral
 develops interconnection solutions for the electronics industry ,neutral
 near Bangalore ,neutral
 cameras and displays ; as well as devices and robot units for the testing of mobile devices ,neutral
 and unknown to him logged in with the first number ,neutral
Symphony Services provides development services for Aldata GOLD ,neutral
 2008 starting at 13.30 pm Finnish time ,neutral
 Ill. ,neutral
No financial information was provided ,neutral
Kemira shares closed at (  x20ac ) 16.66 ( $ 22US .71 ) ,neutral
000 new Ixonos shares ,neutral
The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting ,neutral
The power generated annually by Loviisa covers about 10 % of Finland 's electricity consumption ,neutral
 5 May 2010 ,neutral
000 Sampo plc shares ,neutral
`` There is no room to modify the share component as we have already indicated . ',neutral
 the company is considering the start of production in Russia ,neutral
 control valves and instrumentation as well as complete mill engineering and electrification with Metso drive controls ,neutral
 max ,neutral
 southern Finland ,neutral
 of Chicago ,neutral
 would take up its entitlement in full ,neutral
 according to Nordea 's Economic Outlook ,neutral
 and stainless steel party dishes ,neutral
The combined capital of these funds is expected to be EUR 100mn-150mn ,neutral
Valga Lihatoostus markets its products under the Maks & Moorits trademark ,neutral
 Poland and Romania by the end of the first quarter of 2009 ,neutral
 at 9.00 am ( EET ) ,neutral
 manufactures and sells customised Rigid Inflatable Boats RIB primarily for the Baltic Sea market ,neutral
Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT ,neutral
 such projects are sold after 1 to 3 years after completion ,neutral
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover ,neutral
The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 ,neutral
The company will be part of Teleste 's Video and Broadband Solutions business area ,neutral
 Switzerland Sector : Pharmaceuticals Target : Synosia Therapeutics Holding AG Buyer : Biotie Therapies Corp Deal size in USD : 129.4 m Type : Corporate acquisition Financing : All-stock Status : Close,neutral
The following information was released by Comptel : Tomorrow the Chairman of the Federal Communications Commission is scheduled to deliver the National Broadband Plan to Congress ,neutral
The customer is local company Etera Mutual Pension Insurance Co and the principal tenant of the unit will be media company Alma Media Corp HEL : ALN1V ,neutral
Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 ,neutral
 among others ,neutral
000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million ,neutral
2007,neutral
Why not give your bedroom a cool makeover for summer ,neutral
NWC ANALYSIS ,neutral
Metso 's delivery will include a complete coated board line with related air systems and two winders ,neutral
 similar to `` touch and go '' cards used in transport systems ,neutral
No financial details were disclosed ,neutral
 '' the company said ,neutral
Officials did not disclose the contract value ,neutral
 almost all the meat used by the company comes from Finland ,neutral
 product development and production machines ,neutral
 his responsibility area is extended from legal affairs to cover also mergers and acquisitions ,neutral
A meeting of Glisten shareholders to vote on the bid will be held on 12 March ,neutral
National sponsors for The Big Read include National Endowment for the Arts in cooperation with the Institute of Museum and Library Services and Arts Midwest ,neutral
 but the transaction would not affect its financial results for 2009 as it was executed at fair value ,neutral
2009,neutral
The products have a low salt and fat content ,neutral
 communication and network products ,neutral
 shoe and furniture businesses ,neutral
Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there ,neutral
 the plant will focus on the production of flange profiles for wind farm towers ,neutral
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway ,neutral
Less than ten people will face pension agreements ,neutral
 Global Research & Data Services is going to publish several market analyses about the markets for water treatment products in some selected countries ,neutral
 it will spread also to Iran and Iraq ,neutral
The office space will rise above the remodeled Cannon Street underground station ,neutral
Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V ,neutral
The company did not disclose the price of the acquisition ,neutral
 which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life ,neutral
 Bluebird and Sterling ,neutral
000 tonnes of asphalt mix will be used in the contract ,neutral
 the report said ,neutral
 Finland ,neutral
 and production could start in 2008 ,neutral
 is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries ,neutral
0,neutral
The value of the total investment is about EUR 600mn ,neutral
000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between 1 January 2011 and 28 February 2011 under the company 's stock option rights 2007A ,neutral
 but the success of any garden lies in how well it 's maintained ,neutral
The serial bond is part of the plan to refinance the short-term credit facility ,neutral
 if nothing else ,neutral
000 square metres of office premises by 2016 ,neutral
 5320XM ,neutral
 +358 400 817198 e-mail eila ,neutral
The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally ,neutral
The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed ,neutral
IonPhasE 's second major owner is venture capital firm Aura Capital ,neutral
 that prepares proposals for matters to be decided or noted by the Board of Directors ,neutral
The full-function PC weighs 1.25 kilograms and measures slightly more than two centimeters thin ,neutral
Analysts surveyed by Thomson Financial expected revenue of $ 69 million for the quarter ,neutral
 the second largest mobile carrier in the country ,neutral
Nordea was the cheapest also for a couple in their 30s with debt ,neutral
It will provide heating in the form of hot water for the sawmill 's needs ,neutral
 giving a market cap of $ 827 million ,neutral
Financial terms were not disclosed ,neutral
The value of the order is around EUR 100 million ,neutral
The business development initiatives in North America are headed by Lynn Shanahan ,neutral
The medium-term operative targets of the company remain unchanged ,neutral
 as well as rents and sells modular space ,neutral
 in the immediate vicinity of Moscow Station ,neutral
 the company that makes them - Fiskars Corporation - was formed in 1649 when a Dutch merchant named Peter Thorwoste was given a charter to establish a blast furnace and forging operation in the small Finnish village of Fiskars ,neutral
The final outcome of the rights offering is to be reported around 23 October 2009 ,neutral
 equaling 0.11 % of the company 's share capital and voting rights ,neutral
 YIT will hold a Capital Markets Day for investors and analysts in London ,neutral
 UBS and CBA ,neutral
 southern Finland ,neutral
BasWare Order Matching automatically matches purchase invoices with approved purchase orders ,neutral
 basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters ,neutral
Construction is expected to be completed in the summer of 2011 ,neutral
Competition authorities will have to approve the deal before it can be finalized ,neutral
Finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation ,neutral
Okmetic revised its 2010 financial outlook based on its order book ,neutral
 John Jiang has worked in several general manager or senior business consultant positions for international companies in China ,neutral
 a major Brazilian conglomerate ,neutral
Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives ,neutral
 company president and CEO Eero Mertano recently told BNamericas ,neutral
The value of the contracts is about EUR 3.3 mn ,neutral
The parties have agreed not to disclose the transaction value ,neutral
Sanoma Magazines International will invite other shareholders holding approximately 15 % of the shares to sell their shares ,neutral
`` We know there are some of our own people out there . ',neutral
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB ,neutral
The firm builds components for mobile phones and other communications products ,neutral
 Manufacturing and Fulfillment services ,neutral
 energy distribution and municipalities ,neutral
Kesko has previously published a stock exchange release concerning the deal on 7 February 2007 ,neutral
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' ,neutral
